image_path,date,pixel_count
images/reolink_8/Animal Detected from Reolink DCC 8 at 2026516 080753__dccbridgecamerasgmail.com__1778915284000__0__01_20260516080753000.jpg,2026-05-29T10:18:42,1352
images/reolink_8/Animal Detected from Reolink DCC 8 at 2026516 080848__dccbridgecamerasgmail.com__1778915335000__0__01_20260516080848000.jpg,2026-05-29T10:18:42,1158
images/reolink_8/Motion Detected from Reolink DCC 8 at 2026429 142153__dccbridgecamerasgmail.com__1777468924000__0__01_20260429142153000.jpg,2026-05-29T10:18:42,465
images/reolink_8/Motion Detected from Reolink DCC 8 at 2026429 142251__dccbridgecamerasgmail.com__1777468982000__0__01_20260429142251000.jpg,2026-05-29T10:18:42,322
images/reolink_8/Motion Detected from Reolink DCC 8 at 2026429 143244__dccbridgecamerasgmail.com__1777469575000__0__01_20260429143244000.jpg,2026-05-29T10:18:42,465
images/reolink_8/Motion Detected from Reolink DCC 8 at 2026430 145856__dccbridgecamerasgmail.com__1777557549000__0__01_20260430145856000.jpg,2026-05-29T10:18:42,272
images/reolink_8/Motion Detected from Reolink DCC 8 at 202651 105600__dccbridgecamerasgmail.com__1777629374000__0__01_20260501105600000.jpg,2026-05-29T10:18:42,523
images/reolink_8/Motion Detected from Reolink DCC 8 at 202651 184011__dccbridgecamerasgmail.com__1777657226000__0__01_20260501184011000.jpg,2026-05-29T10:18:42,330
images/reolink_8/Motion Detected from Reolink DCC 8 at 2026513 101317__dccbridgecamerasgmail.com__1778663607000__0__01_20260513101317000.jpg,2026-05-29T10:18:42,705
images/reolink_8/Motion Detected from Reolink DCC 8 at 2026513 160138__dccbridgecamerasgmail.com__1778684509000__0__01_20260513160138000.jpg,2026-05-29T10:18:42,829
images/reolink_8/Motion Detected from Reolink DCC 8 at 2026515 103803__dccbridgecamerasgmail.com__1778837899000__0__01_20260515103803000.jpg,2026-05-29T10:18:42,724
images/reolink_8/Motion Detected from Reolink DCC 8 at 2026515 125518__dccbridgecamerasgmail.com__1778846135000__0__01_20260515125518000.jpg,2026-05-29T10:18:42,916
