image_path,date,pixel_count
images/reolink_6/Motion Detected from Halfpenny camera at 2026528 165852__dccbridgecamerasgmail.com__1779983942000__0__01_20260528165852000.jpg,2026-05-29T10:07:36,0
images/reolink_6/Motion Detected from Halfpenny camera at 2026528 180016__dccbridgecamerasgmail.com__1779987626000__0__01_20260528180016000.jpg,2026-05-29T10:07:50,0
images/reolink_6/Motion Detected from Halfpenny camera at 2026528 180835__dccbridgecamerasgmail.com__1779988125000__0__01_20260528180835000.jpg,2026-05-29T10:07:57,0
images/reolink_6/Motion Detected from Halfpenny camera at 2026528 181949__dccbridgecamerasgmail.com__1779988799000__0__01_20260528181949000.jpg,2026-05-29T10:08:03,11
images/reolink_6/Motion Detected from Halfpenny camera at 2026528 182125__dccbridgecamerasgmail.com__1779988894000__0__01_20260528182125000.jpg,2026-05-29T10:08:05,0
images/reolink_6/Motion Detected from Halfpenny camera at 2026529 081650__dccbridgecamerasgmail.com__1780039020000__0__01_20260529081650000.jpg,2026-05-29T10:08:21,0
images/reolink_6/Motion Detected from Halfpenny camera at 2026529 101102__dccbridgecamerasgmail.com__1780045872000__0__01_20260529101102000.jpg,2026-05-29T10:11:24,0
images/reolink_6/Vehicle Detected from Halfpenny camera at 2026528 181651__dccbridgecamerasgmail.com__1779988621000__0__01_20260528181651000.jpg,2026-05-29T10:08:02,1
images/reolink_6/Vehicle Detected from Halfpenny camera at 2026528 185122__dccbridgecamerasgmail.com__1779990693000__0__01_20260528185122000.jpg,2026-05-29T10:08:16,0
images/reolink_6/Animal Detected from Halfpenny camera at 2026331 065659__dccbridgecamerasgmail.com__1774936632000__0__01_20260331065659000.jpg,2026-05-29T10:18:20,0
images/reolink_6/Animal Detected from Halfpenny camera at 2026527 140554__dccbridgecamerasgmail.com__1779887163000__0__01_20260527140554000.jpg,2026-05-29T10:18:20,0
images/reolink_6/Animal Detected from Reolink DCC 6 at 2026324 143614__dccbridgecamerasgmail.com__1774362988000__0__01_20260324143614000.jpg,2026-05-29T10:18:20,0
images/reolink_6/Motion Detected from Halfpenny camera at 2026328 105129__dccbridgecamerasgmail.com__1774695102000__0__01_20260328105129000.jpg,2026-05-29T10:18:20,0
images/reolink_6/Motion Detected from Halfpenny camera at 2026328 123001__dccbridgecamerasgmail.com__1774701011000__0__01_20260328123001000.jpg,2026-05-29T10:18:20,0
images/reolink_6/Motion Detected from Halfpenny camera at 2026328 143402__dccbridgecamerasgmail.com__1774708452000__0__01_20260328143402000.jpg,2026-05-29T10:18:20,0
images/reolink_6/Motion Detected from Halfpenny camera at 2026328 160029__dccbridgecamerasgmail.com__1774713640000__0__01_20260328160029000.jpg,2026-05-29T10:18:20,0
images/reolink_6/Motion Detected from Halfpenny camera at 2026328 184327__dccbridgecamerasgmail.com__1774723417000__0__01_20260328184327000.jpg,2026-05-29T10:18:20,0
images/reolink_6/Motion Detected from Halfpenny camera at 2026329 122940__dccbridgecamerasgmail.com__1774783793000__0__01_20260329122940000.jpg,2026-05-29T10:18:20,0
images/reolink_6/Motion Detected from Halfpenny camera at 2026330 102311__dccbridgecamerasgmail.com__1774862602000__0__01_20260330102311000.jpg,2026-05-29T10:18:20,0
images/reolink_6/Motion Detected from Halfpenny camera at 2026330 103007__dccbridgecamerasgmail.com__1774863020000__0__01_20260330103007000.jpg,2026-05-29T10:18:20,0
images/reolink_6/Motion Detected from Halfpenny camera at 2026330 143512__dccbridgecamerasgmail.com__1774877725000__0__01_20260330143512000.jpg,2026-05-29T10:18:20,0
images/reolink_6/Motion Detected from Halfpenny camera at 2026330 145030__dccbridgecamerasgmail.com__1774878641000__0__01_20260330145030000.jpg,2026-05-29T10:18:20,0
images/reolink_6/Motion Detected from Halfpenny camera at 2026330 145737__dccbridgecamerasgmail.com__1774879066000__0__01_20260330145737000.jpg,2026-05-29T10:18:20,0
images/reolink_6/Motion Detected from Halfpenny camera at 2026330 162159__dccbridgecamerasgmail.com__1774884129000__0__01_20260330162159000.jpg,2026-05-29T10:18:20,0
images/reolink_6/Motion Detected from Halfpenny camera at 2026330 163421__dccbridgecamerasgmail.com__1774884873000__0__01_20260330163421000.jpg,2026-05-29T10:18:20,0
images/reolink_6/Motion Detected from Halfpenny camera at 2026330 163545__dccbridgecamerasgmail.com__1774884955000__0__01_20260330163545000.jpg,2026-05-29T10:18:20,0
images/reolink_6/Motion Detected from Halfpenny camera at 2026330 165618__dccbridgecamerasgmail.com__1774886188000__0__01_20260330165618000.jpg,2026-05-29T10:18:20,0
images/reolink_6/Motion Detected from Halfpenny camera at 2026330 165648__dccbridgecamerasgmail.com__1774886220000__0__01_20260330165648000.jpg,2026-05-29T10:18:20,0
images/reolink_6/Motion Detected from Halfpenny camera at 2026331 064037__dccbridgecamerasgmail.com__1774935652000__0__01_20260331064037000.jpg,2026-05-29T10:18:20,0
