image_path,date,pixel_count
images/reolink_0/Motion Detected from Bickleigh camera at 2026528 170808__dccbridgecamerasgmail.com__1779984500000__0__01_20260528170808000.jpg,2026-05-29T10:07:39,0
images/reolink_0/Motion Detected from Bickleigh camera at 2026528 170836__dccbridgecamerasgmail.com__1779984527000__0__01_20260528170836000.jpg,2026-05-29T10:07:40,0
images/reolink_0/Motion Detected from Bickleigh camera at 2026528 172237__dccbridgecamerasgmail.com__1779985367000__0__01_20260528172237000.jpg,2026-05-29T10:07:42,2
images/reolink_0/Motion Detected from Bickleigh camera at 2026528 172635__dccbridgecamerasgmail.com__1779985607000__0__01_20260528172635000.jpg,2026-05-29T10:07:43,8
images/reolink_0/Motion Detected from Bickleigh camera at 2026528 173128__dccbridgecamerasgmail.com__1779985898000__0__01_20260528173128000.jpg,2026-05-29T10:07:44,2
images/reolink_0/Motion Detected from Bickleigh camera at 2026528 173241__dccbridgecamerasgmail.com__1779985973000__0__01_20260528173241000.jpg,2026-05-29T10:07:44,2
images/reolink_0/Motion Detected from Bickleigh camera at 2026528 173512__dccbridgecamerasgmail.com__1779986123000__0__01_20260528173512000.jpg,2026-05-29T10:07:45,3
images/reolink_0/Motion Detected from Bickleigh camera at 2026528 173800__dccbridgecamerasgmail.com__1779986291000__0__01_20260528173800000.jpg,2026-05-29T10:07:45,7
images/reolink_0/Motion Detected from Bickleigh camera at 2026528 173921__dccbridgecamerasgmail.com__1779986372000__0__01_20260528173921000.jpg,2026-05-29T10:07:46,0
images/reolink_0/Motion Detected from Bickleigh camera at 2026528 174151__dccbridgecamerasgmail.com__1779986522000__0__01_20260528174151000.jpg,2026-05-29T10:07:46,0
images/reolink_0/Motion Detected from Bickleigh camera at 2026528 174729__dccbridgecamerasgmail.com__1779986860000__0__01_20260528174729000.jpg,2026-05-29T10:07:47,0
images/reolink_0/Motion Detected from Bickleigh camera at 2026528 174812__dccbridgecamerasgmail.com__1779986903000__0__01_20260528174812000.jpg,2026-05-29T10:07:48,0
images/reolink_0/Motion Detected from Bickleigh camera at 2026528 175024__dccbridgecamerasgmail.com__1779987035000__0__01_20260528175024000.jpg,2026-05-29T10:07:48,0
images/reolink_0/Motion Detected from Bickleigh camera at 2026528 175458__dccbridgecamerasgmail.com__1779987310000__0__01_20260528175458000.jpg,2026-05-29T10:07:49,3
images/reolink_0/Motion Detected from Bickleigh camera at 2026528 175925__dccbridgecamerasgmail.com__1779987577000__0__01_20260528175925000.jpg,2026-05-29T10:07:49,2
images/reolink_0/Motion Detected from Bickleigh camera at 2026528 190253__dccbridgecamerasgmail.com__1779991385000__0__01_20260528190253000.jpg,2026-05-29T10:08:17,28
images/reolink_0/Motion Detected from Bickleigh camera at 2026528 190417__dccbridgecamerasgmail.com__1779991469000__0__01_20260528190417000.jpg,2026-05-29T10:08:18,308
images/reolink_0/Motion Detected from Bickleigh camera at 2026528 190627__dccbridgecamerasgmail.com__1779991599000__0__01_20260528190627000.jpg,2026-05-29T10:08:18,2
images/reolink_0/Motion Detected from Bickleigh camera at 2026528 191312__dccbridgecamerasgmail.com__1779992003000__0__01_20260528191312000.jpg,2026-05-29T10:08:19,3921
images/reolink_0/Motion Detected from Bickleigh camera at 2026528 191339__dccbridgecamerasgmail.com__1779992031000__0__01_20260528191339000.jpg,2026-05-29T10:08:19,5147
images/reolink_0/Motion Detected from Bickleigh camera at 2026528 191827__dccbridgecamerasgmail.com__1779992318000__0__01_20260528191827000.jpg,2026-05-29T10:08:20,2
images/reolink_0/Motion Detected from Bickleigh camera at 2026528 191900__dccbridgecamerasgmail.com__1779992350000__0__01_20260528191900000.jpg,2026-05-29T10:08:21,11
images/reolink_0/Vehicle Detected from Bickleigh camera at 2026528 170011__dccbridgecamerasgmail.com__1779984022000__0__01_20260528170011000.jpg,2026-05-29T10:07:37,0
images/reolink_0/Vehicle Detected from Bickleigh camera at 2026528 170233__dccbridgecamerasgmail.com__1779984164000__0__01_20260528170233000.jpg,2026-05-29T10:07:38,1
images/reolink_0/Vehicle Detected from Bickleigh camera at 2026528 170350__dccbridgecamerasgmail.com__1779984242000__0__01_20260528170350000.jpg,2026-05-29T10:07:38,0
images/reolink_0/Vehicle Detected from Bickleigh camera at 2026528 170542__dccbridgecamerasgmail.com__1779984353000__0__01_20260528170542000.jpg,2026-05-29T10:07:39,0
images/reolink_0/Vehicle Detected from Bickleigh camera at 2026528 171626__dccbridgecamerasgmail.com__1779984996000__0__01_20260528171626000.jpg,2026-05-29T10:07:40,2
images/reolink_0/Vehicle Detected from Bickleigh camera at 2026528 171914__dccbridgecamerasgmail.com__1779985165000__0__01_20260528171914000.jpg,2026-05-29T10:07:41,2
images/reolink_0/Vehicle Detected from Bickleigh camera at 2026528 172124__dccbridgecamerasgmail.com__1779985295000__0__01_20260528172124000.jpg,2026-05-29T10:07:41,2
images/reolink_0/Vehicle Detected from Bickleigh camera at 2026528 172616__dccbridgecamerasgmail.com__1779985588000__0__01_20260528172616000.jpg,2026-05-29T10:07:42,2
images/reolink_0/Vehicle Detected from Bickleigh camera at 2026528 174333__dccbridgecamerasgmail.com__1779986623000__0__01_20260528174333000.jpg,2026-05-29T10:07:47,0
images/reolink_0/Animal Detected from Bickleigh camera at 2026418 094255__dccbridgecamerasgmail.com__1776501786000__0__01_20260418094255000.jpg,2026-05-29T10:17:08,43
images/reolink_0/Animal Detected from Bickleigh camera at 2026425 153117__dccbridgecamerasgmail.com__1777127487000__0__01_20260425153117000.jpg,2026-05-29T10:17:08,0
images/reolink_0/Animal Detected from Bickleigh camera at 2026427 134826__dccbridgecamerasgmail.com__1777294131000__0__01_20260427134826000.jpg,2026-05-29T10:17:08,0
images/reolink_0/Animal Detected from Bickleigh camera at 2026515 154220__dccbridgecamerasgmail.com__1778856151000__0__01_20260515154220000.jpg,2026-05-29T10:17:08,76
images/reolink_0/Animal Detected from DCC camera at 2026323 132219__dccbridgecamerasgmail.com__1774272181000__0__01_20260323132219030.jpg,2026-05-29T10:17:08,0
images/reolink_0/Motion Detected from Bickleigh camera at 2026327 212204__dccbridgecamerasgmail.com__1774646537000__0__01_20260327212204000.jpg,2026-05-29T10:17:08,37331
images/reolink_0/Motion Detected from Bickleigh camera at 2026327 213229__dccbridgecamerasgmail.com__1774647162000__0__01_20260327213229000.jpg,2026-05-29T10:17:08,39599
images/reolink_0/Motion Detected from Bickleigh camera at 2026327 235505__dccbridgecamerasgmail.com__1774655720000__0__01_20260327235505000.jpg,2026-05-29T10:17:08,24300
images/reolink_0/Motion Detected from Bickleigh camera at 2026328 010843__dccbridgecamerasgmail.com__1774660136000__0__01_20260328010843000.jpg,2026-05-29T10:17:08,30164
images/reolink_0/Motion Detected from Bickleigh camera at 2026328 073131__dccbridgecamerasgmail.com__1774683107000__0__01_20260328073131000.jpg,2026-05-29T10:17:08,1853
images/reolink_0/Motion Detected from Bickleigh camera at 2026328 074626__dccbridgecamerasgmail.com__1774684003000__0__01_20260328074626000.jpg,2026-05-29T10:17:08,1643
images/reolink_0/Motion Detected from Bickleigh camera at 2026328 075313__dccbridgecamerasgmail.com__1774684410000__0__01_20260328075313000.jpg,2026-05-29T10:17:08,1744
images/reolink_0/Motion Detected from Bickleigh camera at 2026328 092200__dccbridgecamerasgmail.com__1774689734000__0__01_20260328092200000.jpg,2026-05-29T10:17:08,294
