camera,Debris,Water,bridge,status
reolink_0,Low,Medium,Bickleigh,Active
reolink_1,Clear,Medium,00399 Harford (Tavy),Active
reolink_2,,,,Inactive
reolink_3,High,Medium,03400 Gunnislake,Active
reolink_4,Clear,Medium,00361 Vigo,Active
reolink_5,High,Medium,03606 Taddiport,Active
reolink_6,High,Medium,Halfpenny,Active
reolink_7,High,Medium,04541 Canal Bridge,Active
reolink_8,High,Medium,03746 Old Rothern,Active
